Static:

+------------------------------------------+-------------+-----+
|window                                    |Hashtag      |count|
+------------------------------------------+-------------+-----+
|{2018-06-29 23:00:00, 2018-06-30 00:00:00}|WorldCup     |152  |
|{2018-06-29 23:30:00, 2018-06-30 00:30:00}|WorldCup     |1270 |
|{2018-06-29 23:30:00, 2018-06-30 00:30:00}|FIFAStadiumDJ|615  |
|{2018-06-30 00:00:00, 2018-06-30 01:00:00}|FIFAStadiumDJ|1073 |
|{2018-06-30 00:00:00, 2018-06-30 01:00:00}|EXO          |157  |
|{2018-06-30 00:00:00, 2018-06-30 01:00:00}|WorldCup     |2278 |
|{2018-06-30 00:00:00, 2018-06-30 01:00:00}|worldcup     |144  |
|{2018-06-30 00:30:00, 2018-06-30 01:30:00}|FIFAStadiumDJ|990  |
|{2018-06-30 00:30:00, 2018-06-30 01:30:00}|worldcup     |150  |
|{2018-06-30 00:30:00, 2018-06-30 01:30:00}|EXO          |156  |
|{2018-06-30 00:30:00, 2018-06-30 01:30:00}|WorldCup     |2158 |
|{2018-06-30 01:00:00, 2018-06-30 02:00:00}|WorldCup     |1884 |
|{2018-06-30 01:00:00, 2018-06-30 02:00:00}|EXO          |217  |
|{2018-06-30 01:00:00, 2018-06-30 02:00:00}|FIFAStadiumDJ|861  |
|{2018-06-30 01:30:00, 2018-06-30 02:30:00}|EXO          |135  |
|{2018-06-30 01:30:00, 2018-06-30 02:30:00}|FIFAStadiumDJ|398  |
|{2018-06-30 01:30:00, 2018-06-30 02:30:00}|WorldCup     |886  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|FRAARG       |1748 |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|WorldCup     |5487 |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|worldcup     |363  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|Messi        |207  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|Argentina    |241  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|ARG          |773  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|FRA          |1626 |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|URU          |140  |
+------------------------------------------+-------------+-----+
only showing top 25 rows


Streaming:

+------------------------------------------+-------------+-----+
|window                                    |Hashtag      |count|
+------------------------------------------+-------------+-----+
|{2018-06-29 23:30:00, 2018-06-30 00:30:00}|WorldCup     |119  |
|{2018-06-30 00:00:00, 2018-06-30 01:00:00}|WorldCup     |186  |
|{2018-06-30 00:30:00, 2018-06-30 01:30:00}|WorldCup     |152  |
|{2018-06-30 01:00:00, 2018-06-30 02:00:00}|WorldCup     |142  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|FRAARG       |126  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|WorldCup     |398  |
|{2018-06-30 15:30:00, 2018-06-30 16:30:00}|FRA          |142  |
|{2018-06-30 16:00:00, 2018-06-30 17:00:00}|FRAARG       |296  |
|{2018-06-30 16:00:00, 2018-06-30 17:00:00}|WorldCup     |968  |
|{2018-06-30 16:00:00, 2018-06-30 17:00:00}|ARG          |193  |
|{2018-06-30 16:00:00, 2018-06-30 17:00:00}|FRA          |296  |
|{2018-06-30 16:30:00, 2018-06-30 17:30:00}|FRAARG       |286  |
|{2018-06-30 16:30:00, 2018-06-30 17:30:00}|WorldCup     |1019 |
|{2018-06-30 16:30:00, 2018-06-30 17:30:00}|ARG          |212  |
|{2018-06-30 16:30:00, 2018-06-30 17:30:00}|FRA          |235  |
|{2018-06-30 17:00:00, 2018-06-30 18:00:00}|WorldCup     |449  |
|{2018-06-30 17:00:00, 2018-06-30 18:00:00}|FRAARG       |116  |
|{2018-06-30 23:00:00, 2018-07-01 00:00:00}|WorldCup     |144  |
|{2018-06-30 23:30:00, 2018-07-01 00:30:00}|WorldCup     |199  |
|{2018-07-01 00:00:00, 2018-07-01 01:00:00}|WorldCup     |191  |
|{2018-07-01 00:30:00, 2018-07-01 01:30:00}|WorldCup     |179  |
|{2018-07-01 01:00:00, 2018-07-01 02:00:00}|WorldCup     |156  |
|{2018-07-01 01:30:00, 2018-07-01 02:30:00}|WorldCup     |150  |
|{2018-07-01 20:00:00, 2018-07-01 21:00:00}|CRO          |163  |
|{2018-07-01 20:00:00, 2018-07-01 21:00:00}|worldcup     |156  |
|{2018-07-01 20:00:00, 2018-07-01 21:00:00}|WorldCup     |1126 |
|{2018-07-01 20:00:00, 2018-07-01 21:00:00}|CRODEN       |316  |
|{2018-07-01 20:30:00, 2018-07-01 21:30:00}|DEN          |101  |
|{2018-07-01 20:30:00, 2018-07-01 21:30:00}|CRO          |221  |
|{2018-07-01 20:30:00, 2018-07-01 21:30:00}|CRODEN       |384  |
|{2018-07-01 20:30:00, 2018-07-01 21:30:00}|WorldCup     |1593 |
|{2018-07-01 20:30:00, 2018-07-01 21:30:00}|worldcup     |199  |
|{2018-07-01 21:00:00, 2018-07-01 22:00:00}|WorldCup     |740  |
|{2018-07-01 21:30:00, 2018-07-01 22:30:00}|WorldCup     |464  |
|{2018-07-01 22:00:00, 2018-07-01 23:00:00}|WorldCup     |332  |
|{2018-07-01 22:30:00, 2018-07-01 23:30:00}|WorldCup     |254  |
|{2018-07-01 23:00:00, 2018-07-02 00:00:00}|WorldCup     |220  |
|{2018-07-01 23:30:00, 2018-07-02 00:30:00}|WorldCup     |198  |
|{2018-07-02 00:00:00, 2018-07-02 01:00:00}|WorldCup     |169  |
|{2018-07-02 00:30:00, 2018-07-02 01:30:00}|WorldCup     |177  |
|{2018-07-02 01:00:00, 2018-07-02 02:00:00}|WorldCup     |108  |
|{2018-07-03 21:30:00, 2018-07-03 22:30:00}|WorldCup     |574  |
|{2018-07-03 21:30:00, 2018-07-03 22:30:00}|ThreeLions   |233  |
|{2018-07-03 21:30:00, 2018-07-03 22:30:00}|ENG          |305  |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|ThreeLions   |233  |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|WorldCup     |574  |
|{2018-07-03 22:00:00, 2018-07-03 23:00:00}|ENG          |305  |
|{2018-07-04 15:00:00, 2018-07-04 16:00:00}|WorldCup     |129  |
|{2018-07-04 15:30:00, 2018-07-04 16:30:00}|WorldCup     |296  |
|{2018-07-04 16:00:00, 2018-07-04 17:00:00}|WorldCup     |167  |
|{2018-07-10 14:30:00, 2018-07-10 15:30:00}|WorldCup     |245  |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|WorldCup     |493  |
|{2018-07-10 15:30:00, 2018-07-10 16:30:00}|WorldCup     |248  |
|{2018-07-10 16:30:00, 2018-07-10 17:30:00}|WorldCup     |126  |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|WorldCup     |385  |
|{2018-07-10 17:30:00, 2018-07-10 18:30:00}|WorldCup     |304  |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|FRABEL       |173  |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|WorldCup     |447  |
|{2018-07-10 18:30:00, 2018-07-10 19:30:00}|FRABEL       |162  |
|{2018-07-10 18:30:00, 2018-07-10 19:30:00}|WorldCup     |402  |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|WorldCup     |422  |
|{2018-07-10 20:30:00, 2018-07-10 21:30:00}|WorldCup     |445  |
|{2018-07-10 21:30:00, 2018-07-10 22:30:00}|WorldCup     |198  |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|WorldCup     |453  |
|{2018-07-10 22:30:00, 2018-07-10 23:30:00}|WorldCup     |298  |
|{2018-07-11 18:30:00, 2018-07-11 19:30:00}|WorldCup     |310  |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|ENG          |191  |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|CROENG       |214  |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|CRO          |126  |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|ENGCRO       |329  |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|WorldCup     |1135 |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|worldcup     |166  |
|{2018-07-11 19:30:00, 2018-07-11 20:30:00}|worldcup     |111  |
|{2018-07-11 19:30:00, 2018-07-11 20:30:00}|ENGCRO       |252  |
|{2018-07-11 19:30:00, 2018-07-11 20:30:00}|WorldCup     |825  |
|{2018-07-11 19:30:00, 2018-07-11 20:30:00}|CROENG       |144  |
|{2018-07-11 19:30:00, 2018-07-11 20:30:00}|ENG          |140  |
|{2018-07-11 20:30:00, 2018-07-11 21:30:00}|WorldCup     |386  |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|WorldCup     |386  |
|{2018-07-15 04:30:00, 2018-07-15 05:30:00}|WorldCup     |167  |
|{2018-07-15 05:00:00, 2018-07-15 06:00:00}|WorldCup     |173  |
|{2018-07-15 05:30:00, 2018-07-15 06:30:00}|WorldCup     |162  |
|{2018-07-15 06:00:00, 2018-07-15 07:00:00}|WorldCup     |184  |
|{2018-07-15 06:30:00, 2018-07-15 07:30:00}|WorldCup     |110  |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|WorldCupFinal|209  |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|croatia      |148  |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|FRACRO       |116  |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|worldcup     |408  |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|WorldCup     |1444 |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|france       |159  |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|FRA          |148  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|worldcup     |622  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|FRA          |204  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|France       |115  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|FRACRO       |150  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|WorldCup     |2117 |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|Croatia      |120  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|WorldCupFinal|289  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|croatia      |250  |
|{2018-07-15 17:30:00, 2018-07-15 18:30:00}|france       |262  |
+------------------------------------------+-------------+-----+
only showing top 100 rows
